Item_Number,Temperature_A,Temperature_B,Temperature_C,Temperature_D,Time_in_Days,Humidity_A,Humidity_B,Humidity_C,Humidity_D,Medicine
2552,42,34,65,94,65,61,39,44,30,A
2553,41,22,11,82,54,62,54,64,32,A
2554,5,28,75,25,37,50,24,50,32,B
2555,91,61,1,67,88,50,36,35,52,B
2556,66,77,70,12,78,27,57,59,43,B
2557,27,0,40,29,46,42,46,37,34,B
2558,84,21,6,36,70,51,39,31,44,A
2559,81,21,59,61,36,48,31,35,60,A
2560,10,6,55,61,79,63,69,68,42,B
2561,8,21,88,50,61,33,58,56,26,B
2562,14,0,25,41,83,62,22,61,63,A
2563,74,19,9,65,63,38,32,28,32,A
2564,35,28,62,89,81,41,56,29,35,B
2565,58,21,82,63,52,28,62,23,60,B
2566,88,34,45,4,65,32,54,39,28,A
2567,76,16,91,32,86,22,30,51,64,A
2568,22,46,23,54,62,34,28,54,60,B
2569,43,32,81,76,49,43,67,54,55,B
2570,88,99,86,82,57,52,21,51,41,B
2571,3,13,82,7,42,55,66,49,23,B
2572,18,46,75,39,83,21,65,22,63,A
2573,18,19,59,79,78,41,69,44,20,B
2574,1,50,49,58,85,34,62,43,42,A
2575,86,87,73,50,65,28,67,65,53,B
2576,38,39,56,79,77,51,42,35,47,A
2577,60,11,70,42,72,23,53,23,69,B
2578,52,6,68,24,84,30,24,60,22,B
2579,43,21,45,51,81,45,31,35,27,A
2580,29,52,63,9,77,43,34,57,22,B
2581,13,87,73,27,47,26,20,67,67,A
2582,64,40,56,15,84,38,21,49,45,B
2583,63,26,92,76,64,39,25,59,23,B
2584,92,14,73,23,51,20,23,22,48,B
2585,19,75,96,47,59,59,61,30,31,B
2586,18,37,25,64,63,57,62,31,41,B
2587,96,66,48,17,50,58,44,50,56,A
2588,77,20,39,8,70,64,65,61,28,A
2589,12,66,27,28,62,32,61,30,36,A
2590,62,99,14,33,68,67,36,20,47,A
2591,55,60,8,80,60,28,48,67,37,B
2592,58,36,75,41,57,54,56,30,65,B
2593,98,19,41,5,42,21,65,66,32,B
2594,54,28,96,55,73,40,56,57,33,B
2595,27,89,24,35,45,58,21,35,51,A
2596,27,98,86,16,44,52,22,30,54,A
2597,61,54,35,84,33,67,21,27,53,B
2598,32,59,38,42,87,47,50,38,28,A
2599,58,7,44,21,78,46,68,61,27,B
2600,66,65,25,36,33,24,42,60,21,B
2601,91,69,33,28,74,62,66,59,51,A
2602,30,60,83,83,46,46,67,51,67,A
2603,0,48,85,33,52,61,51,47,39,A
2604,3,69,6,30,36,38,69,62,59,B
2605,32,2,54,14,35,61,62,26,45,A
2606,87,4,34,36,52,50,58,38,67,B
2607,25,72,26,88,36,54,40,23,59,A
2608,23,48,82,13,43,28,23,60,59,A
2609,95,89,4,53,88,60,23,31,67,B
2610,63,0,88,37,63,61,30,53,58,B
2611,96,99,53,2,45,64,34,24,43,A
2612,30,51,93,36,40,26,67,22,42,A
2613,89,78,33,11,89,48,24,33,38,A
2614,18,31,3,40,71,32,66,21,34,A
2615,85,65,42,35,68,29,63,21,41,B
2616,34,24,78,16,67,63,44,66,47,B
2617,33,2,45,7,61,49,62,65,24,B
2618,47,40,76,45,48,38,58,57,48,A
2619,99,23,96,17,47,55,45,24,56,B
2620,20,94,81,31,32,38,53,41,49,A
2621,45,43,93,50,73,54,65,38,67,B
2622,41,51,72,72,84,38,62,31,33,B
2623,97,12,92,25,36,59,26,37,58,A
2624,35,66,10,48,79,40,54,26,64,A
2625,27,62,72,11,62,31,27,41,42,A
2626,25,2,97,39,51,35,29,42,47,B
2627,98,83,14,76,65,28,57,31,44,A
2628,94,64,25,9,39,45,50,36,34,A
2629,16,20,83,37,88,41,52,31,32,A
2630,34,87,64,48,30,21,65,43,25,B
2631,77,76,6,22,59,62,33,22,33,A
2632,71,47,89,70,56,46,69,69,49,A
2633,67,72,31,63,88,31,23,43,55,B
2634,86,97,5,93,81,45,66,59,42,B
2635,6,82,23,31,48,51,60,50,46,B
2636,39,28,59,79,86,32,46,24,66,B
2637,54,83,29,13,40,35,20,50,59,B
2638,99,33,2,49,74,25,32,31,22,B
2639,5,98,48,0,75,38,53,58,27,B
2640,79,61,36,12,66,25,37,25,46,B
2641,70,28,18,59,80,56,31,63,35,A
2642,68,77,21,6,80,30,69,60,31,B
2643,30,27,48,45,55,60,31,50,35,A
2644,0,75,52,46,81,38,55,60,25,A
2645,59,99,83,81,59,63,63,23,28,A
2646,79,29,70,88,44,32,20,22,67,B
2647,39,58,61,6,47,20,66,25,64,B
2648,21,94,18,36,63,48,23,42,32,A
2649,62,61,51,72,62,20,58,66,35,B
2650,56,80,84,45,85,53,63,44,24,A
2651,21,97,46,82,77,39,60,38,45,A
2652,6,25,51,4,73,64,44,60,50,B
2653,58,86,20,98,49,63,64,41,64,B
2654,83,22,51,55,65,30,66,69,52,A
2655,15,56,1,45,45,37,56,59,23,A
2656,16,68,31,29,56,65,36,42,63,A
2657,6,66,74,75,79,42,20,67,52,A
2658,59,9,62,9,69,46,65,37,36,A
2659,85,79,35,17,76,45,52,33,30,B
2660,63,26,86,84,60,51,34,39,50,B
2661,84,64,53,27,82,30,37,20,30,A
2662,47,75,93,11,70,36,49,20,51,A
2663,15,82,60,79,39,29,52,36,24,B
2664,91,63,90,59,36,24,23,52,26,B
2665,18,58,93,7,55,61,25,43,69,A
2666,15,27,23,83,57,29,29,28,63,B
2667,16,33,37,1,85,27,42,59,28,B
2668,41,59,51,62,87,65,66,62,55,A
2669,9,4,24,99,61,63,55,57,37,A
2670,29,6,13,97,56,50,46,42,62,B
2671,99,18,20,18,69,65,21,65,20,A
2672,14,93,25,6,34,32,49,36,47,B
2673,68,86,3,91,58,51,24,32,30,B
2674,43,53,34,89,67,58,34,37,27,B
2675,95,70,15,50,68,25,36,27,57,A
2676,23,59,76,99,87,54,61,59,58,B
2677,10,80,7,44,49,33,42,55,31,B
2678,23,91,40,66,56,28,51,34,35,A
2679,35,83,30,21,82,68,41,23,21,A
2680,74,67,85,10,51,34,26,46,32,B
2681,32,60,3,5,75,27,44,53,35,A
2682,76,38,42,42,57,40,37,51,57,A
2683,52,94,23,1,31,25,55,41,57,A
2684,65,23,86,2,71,30,34,56,56,A
2685,12,80,90,83,32,30,40,67,40,B
2686,95,98,58,32,31,67,54,63,68,A
2687,89,54,4,70,41,67,33,44,52,A
2688,85,70,27,89,74,25,34,55,51,A
2689,72,81,14,39,74,56,45,46,31,B
2690,74,23,95,24,32,51,24,69,28,A
2691,32,8,48,46,81,42,26,25,49,A
2692,90,50,53,89,55,20,32,68,64,A
2693,32,89,92,46,67,43,23,65,58,A
2694,91,99,26,34,63,69,32,30,65,A
2695,6,28,43,95,73,23,32,35,43,A
2696,46,93,22,76,70,46,30,63,28,A
2697,10,43,30,98,79,54,40,69,23,A
2698,78,0,21,59,77,39,23,56,28,A
2699,57,5,89,63,86,37,47,50,69,A
2700,20,17,70,0,37,31,69,25,52,A
2701,90,54,20,65,65,35,67,39,49,B
2702,14,2,72,22,49,28,65,60,61,A
2703,0,75,93,77,34,32,34,47,66,B
2704,33,80,8,66,40,49,47,64,54,A
2705,26,48,48,89,50,21,69,55,23,A
2706,93,11,11,13,80,36,58,53,28,A
2707,5,65,2,47,31,69,52,36,39,B
2708,5,81,21,21,57,47,65,53,28,B
2709,47,61,0,3,70,50,38,52,43,A
2710,47,48,92,81,51,54,20,41,40,B
2711,49,78,3,72,85,69,50,25,40,B
2712,99,42,22,23,65,61,64,36,30,A
2713,2,45,27,2,49,28,64,69,34,A
2714,54,90,31,58,73,31,51,47,49,B
2715,26,26,15,5,86,25,65,57,23,B
2716,49,33,45,23,48,55,27,21,69,A
2717,89,41,18,96,33,69,64,69,52,A
2718,13,44,49,21,46,63,50,25,47,B
2719,77,24,29,17,31,50,20,52,26,B
2720,50,36,58,14,48,54,66,60,36,B
2721,16,33,99,22,49,50,42,55,40,A
2722,80,75,27,25,45,49,56,22,41,A
2723,15,9,62,97,35,51,44,29,41,B
2724,4,22,48,71,45,46,51,53,67,B
2725,71,87,93,77,53,20,26,20,57,A
2726,44,64,78,66,56,25,60,67,61,A
2727,51,21,35,41,74,29,60,63,37,A
2728,59,46,87,8,79,55,31,68,59,A
2729,35,24,17,34,72,41,30,54,59,A
2730,61,63,14,47,40,44,44,41,60,B
2731,61,94,4,18,48,56,40,38,20,B
2732,4,70,93,77,41,41,46,37,43,B
2733,58,27,98,70,61,56,49,53,52,A
2734,8,4,43,44,45,58,32,66,65,B
2735,86,85,56,53,59,21,26,47,60,B
2736,1,6,78,96,72,44,51,42,47,B
2737,26,5,75,29,61,53,48,51,32,B
2738,1,17,48,94,72,51,49,33,32,B
2739,52,62,42,93,83,31,48,46,41,A
2740,81,18,44,0,79,54,62,38,39,B
2741,78,16,83,90,47,48,67,48,67,B
2742,82,43,60,70,40,46,55,22,58,A
2743,91,35,80,95,36,53,50,34,35,B
2744,71,67,0,48,41,20,64,60,60,B
2745,72,86,26,24,55,39,56,53,27,B
2746,5,49,86,78,69,68,23,66,57,B
2747,81,81,71,1,77,36,69,27,43,B
2748,62,32,94,76,32,37,32,38,39,A
2749,84,56,30,39,58,60,29,44,32,A
2750,81,18,87,96,55,66,57,42,51,A
2751,81,85,71,85,77,28,54,68,66,A
2752,82,82,51,82,50,60,25,37,40,B
2753,96,42,78,87,35,39,37,42,47,B
2754,24,63,42,27,66,58,54,32,51,B
2755,53,37,6,45,31,55,66,41,31,B
2756,29,2,50,34,59,69,50,38,31,B
2757,92,40,27,26,50,38,62,62,33,A
2758,59,71,45,59,55,38,42,66,41,A
2759,81,6,96,0,44,59,56,27,61,A
2760,97,26,77,0,36,53,32,26,34,A
2761,28,99,78,69,80,56,28,61,29,A
2762,10,63,30,91,77,53,62,43,60,A
2763,72,81,11,23,50,20,39,33,59,A
2764,58,98,95,52,30,37,64,31,60,A
2765,59,84,49,44,38,28,42,33,69,B
2766,52,27,42,69,67,58,23,58,29,A
2767,25,53,78,54,34,46,31,36,41,B
2768,68,81,22,70,46,50,26,28,46,B
2769,6,77,2,58,58,25,31,42,24,B
2770,66,72,99,33,48,69,30,55,25,B
2771,75,18,97,62,37,33,42,24,27,A
2772,17,5,5,84,44,25,55,60,21,B
2773,77,5,41,6,85,23,26,35,40,B
2774,25,50,85,41,44,60,22,47,32,B
2775,70,51,14,75,38,38,30,66,22,B
2776,75,39,72,78,85,63,42,31,37,A
2777,97,88,45,27,67,21,23,44,24,B
2778,14,76,88,43,68,39,37,25,63,B
2779,54,89,51,96,42,36,65,46,34,B
2780,74,50,77,10,64,69,52,34,26,A
2781,62,19,96,33,48,30,24,27,26,B
2782,58,47,60,34,64,62,51,21,54,A
2783,23,26,82,51,86,35,36,66,37,B
2784,22,14,54,7,86,30,31,25,48,A
2785,2,78,5,93,47,39,65,38,67,A
2786,48,37,56,71,69,55,39,34,46,B
2787,38,91,84,60,35,60,46,40,57,A
2788,28,33,8,21,51,23,35,20,43,B
2789,73,98,26,31,71,55,34,32,48,A
2790,41,79,73,92,62,53,28,22,47,A
2791,31,24,27,65,43,44,66,30,69,A
2792,87,58,31,36,69,26,40,25,43,A
2793,69,70,7,36,46,65,37,47,46,A
2794,1,16,81,99,79,65,61,23,61,B
2795,93,59,28,85,37,38,37,44,68,A
2796,82,74,64,81,73,61,37,33,51,B
2797,33,40,54,35,35,26,56,29,35,A
2798,78,71,68,33,64,38,21,38,22,B
2799,62,62,21,32,82,57,27,48,59,A
2800,24,29,38,70,49,66,36,44,52,B
2801,24,4,13,36,51,68,60,42,54,B
2802,78,73,17,38,39,26,57,53,30,B
2803,34,88,11,90,71,28,51,65,65,B
2804,73,40,23,13,87,39,66,30,64,A
2805,54,66,84,47,57,64,41,50,26,A
2806,65,73,96,92,55,69,30,43,50,B
2807,87,57,26,18,54,31,37,44,24,B
2808,61,69,60,6,41,36,42,27,48,B
2809,92,47,74,72,42,63,60,33,47,B
2810,58,20,40,39,68,53,43,59,50,B
2811,52,57,18,99,42,34,28,68,50,B
2812,55,34,42,61,36,68,58,49,22,A
2813,65,12,87,18,80,48,36,40,56,B
2814,20,18,33,23,60,66,57,51,53,A
2815,2,23,51,47,59,29,49,39,68,A
2816,69,6,64,76,33,47,40,37,24,B
2817,73,27,32,48,41,28,61,49,25,B
2818,62,84,67,58,43,62,52,55,67,B
2819,14,53,31,71,37,20,61,55,43,A
2820,20,88,50,91,66,45,57,51,50,A
2821,77,91,87,33,55,49,51,35,54,A
2822,32,22,24,30,67,54,51,52,58,B
2823,6,99,85,42,69,50,58,68,45,A
2824,66,14,99,37,65,58,57,39,50,B
2825,67,61,81,64,89,38,31,34,24,B
2826,4,79,59,8,34,69,64,60,52,A
2827,65,65,79,56,79,31,40,23,39,B
2828,66,27,45,2,61,32,47,55,67,A
2829,14,50,23,54,31,39,32,63,69,A
2830,19,90,30,75,52,65,68,30,31,A
2831,95,33,84,75,87,59,31,25,50,A
2832,50,86,55,37,72,57,43,63,37,B
2833,55,81,1,35,34,45,22,64,48,B
2834,69,56,74,45,62,34,27,32,42,B
2835,93,47,51,56,32,38,48,52,61,B
2836,18,83,12,3,74,53,32,31,27,A
2837,58,74,90,88,36,61,38,43,65,B
2838,36,93,13,49,48,36,24,44,61,B
2839,38,67,31,4,76,29,38,35,58,A
2840,36,25,14,16,57,63,38,51,48,B
2841,89,16,34,76,40,35,26,36,60,B
2842,73,66,55,37,41,20,41,41,62,A
2843,29,24,93,6,73,29,62,53,21,B
2844,3,72,38,64,53,25,67,48,63,B
2845,78,96,10,56,47,34,65,38,57,A
2846,23,97,4,63,41,59,68,27,26,A
2847,43,33,64,38,73,67,66,41,65,A
2848,87,8,80,83,38,59,38,23,51,A
2849,11,5,35,61,81,47,39,60,33,A
2850,92,19,64,64,34,61,67,51,54,B
2851,93,85,80,15,45,34,20,57,38,B
2852,42,24,6,46,51,20,60,39,23,B
2853,31,53,31,11,48,47,67,66,48,B
2854,49,82,71,24,66,65,40,21,66,A
2855,0,0,16,82,44,44,36,30,33,A
2856,71,76,84,82,85,36,47,32,67,A
2857,81,7,20,94,46,41,67,56,68,A
2858,89,23,76,11,73,49,34,62,48,A
2859,93,24,78,72,51,56,63,64,31,B
2860,70,44,16,60,61,42,40,69,38,A
2861,59,69,85,23,77,51,64,46,55,B
2862,70,69,56,70,71,54,61,29,55,A
2863,69,99,55,62,81,64,48,64,64,A
2864,62,22,21,81,80,44,49,22,59,B
2865,41,1,30,80,67,29,23,32,26,A
2866,21,83,37,4,66,49,45,45,42,A
2867,91,63,58,58,78,40,30,57,42,A
2868,35,18,83,74,54,57,50,48,22,A
2869,14,90,33,15,30,34,54,45,39,A
2870,45,65,0,18,60,41,39,51,42,A
2871,3,51,45,5,54,23,67,64,60,A
2872,32,71,47,13,39,44,43,52,37,B
2873,14,36,13,31,82,68,30,56,26,B
2874,66,16,25,86,59,68,23,24,22,B
2875,35,84,81,18,39,43,35,67,39,B
2876,39,38,79,92,83,50,33,58,24,B
2877,42,93,3,27,56,36,68,45,21,B
2878,10,79,36,28,76,22,34,43,59,A
2879,33,91,53,32,48,23,58,57,55,A
2880,77,55,35,74,58,57,38,45,55,B
2881,90,76,46,47,48,31,42,34,61,A
2882,88,33,10,54,58,32,41,40,47,A
2883,21,82,82,15,54,50,51,58,44,A
2884,29,36,19,58,79,34,23,49,31,B
2885,95,69,74,96,44,21,65,53,57,A
2886,36,13,82,23,42,37,45,49,23,A
2887,99,32,9,52,73,66,21,50,50,B
2888,46,56,24,85,82,68,40,53,64,A
2889,94,55,80,28,50,31,58,49,23,B
2890,36,88,14,70,89,43,52,38,62,B
2891,39,14,70,15,89,35,42,24,60,A
2892,30,0,71,4,65,67,66,67,48,B
2893,0,20,70,59,51,21,60,63,21,A
2894,21,65,1,66,58,40,30,50,31,B
2895,85,58,87,20,34,47,40,65,69,A
2896,57,10,85,60,36,62,46,49,24,A
2897,7,78,80,70,86,52,53,55,36,B
2898,88,41,87,16,31,47,54,62,20,A
2899,17,99,87,82,64,28,22,23,32,A
2900,52,30,25,66,56,52,40,40,60,A
2901,19,84,83,33,66,53,40,34,48,B
2902,90,62,90,60,45,38,28,58,25,A
2903,87,49,65,36,65,51,36,58,41,A
2904,80,29,88,4,45,32,40,34,35,A
2905,36,74,41,41,85,27,55,68,43,A
2906,67,2,45,82,41,65,22,37,30,B
2907,89,7,46,4,85,68,53,26,34,A
2908,63,52,44,52,59,64,65,44,63,A
2909,57,51,55,14,67,63,67,45,49,A
2910,93,7,14,88,41,58,37,47,22,B
2911,31,18,70,0,34,23,21,46,39,A
2912,73,20,44,60,83,30,59,25,63,B
2913,73,21,93,20,70,26,42,27,36,B
2914,90,36,8,37,79,22,63,37,37,B
2915,68,82,82,18,71,32,61,51,27,A
2916,16,6,73,3,56,54,25,44,58,A
2917,94,36,6,32,42,45,42,42,53,A
2918,88,11,26,96,48,59,53,28,22,A
2919,46,40,14,46,42,58,45,32,23,A
2920,31,39,98,83,87,61,49,35,23,B
2921,33,9,44,17,42,31,31,56,51,A
2922,5,54,47,60,68,23,49,43,65,A
2923,64,58,48,58,65,43,21,63,50,A
2924,61,97,87,89,83,20,49,50,45,A
2925,56,27,10,39,87,33,31,28,28,A
2926,1,55,67,41,63,34,40,36,20,B
2927,22,50,12,92,85,21,64,30,60,A
2928,58,66,76,14,69,48,62,27,28,A
2929,50,89,35,80,64,44,22,59,29,B
2930,72,42,78,56,42,29,65,50,23,A
2931,35,48,88,5,73,29,55,54,59,A
2932,13,18,91,6,50,42,36,61,64,B
2933,6,30,27,54,70,27,36,44,59,B
2934,32,34,89,10,79,27,61,33,60,A
2935,2,65,46,90,43,31,41,33,34,A
2936,65,77,13,8,56,56,69,20,45,A
2937,22,65,78,83,54,47,35,67,40,A
2938,92,61,84,94,46,65,32,34,40,B
2939,7,47,0,56,42,25,25,25,35,B
2940,66,98,10,23,31,54,58,56,50,B
2941,5,9,59,1,82,58,56,41,40,B
2942,56,10,0,19,80,35,58,50,41,B
2943,6,40,34,59,82,35,60,34,29,A
2944,75,84,90,10,47,49,29,66,25,A
2945,84,1,47,43,30,46,33,36,40,B
2946,64,49,16,68,79,56,68,40,67,B
2947,80,13,88,2,43,36,69,51,62,A
2948,13,85,75,47,66,39,33,23,33,B
2949,42,54,66,34,49,36,60,62,52,B
2950,62,42,79,4,59,42,53,33,46,A
2951,56,88,74,53,69,46,33,37,47,A
2952,12,2,2,7,72,66,29,67,25,B
2953,37,7,57,74,38,63,26,36,50,B
2954,51,96,66,15,63,23,33,23,53,A
2955,79,49,78,73,70,54,32,37,57,A
2956,72,89,32,81,83,65,57,38,22,B
2957,27,62,82,57,65,23,30,25,24,A
2958,27,1,93,18,59,67,28,20,24,B
2959,61,31,63,47,75,27,37,36,46,A
2960,30,25,57,48,53,22,46,56,23,B
2961,33,74,82,55,81,44,59,60,65,A
2962,98,78,9,52,50,52,34,36,50,A
2963,90,96,22,52,53,27,34,28,22,B
2964,28,83,50,89,58,63,55,58,24,A
2965,89,37,34,68,72,67,57,53,37,B
2966,37,48,61,3,54,36,33,44,64,A
2967,55,96,13,14,38,67,31,63,29,A
2968,78,45,73,72,80,55,24,52,67,A
2969,64,78,67,24,83,53,27,27,63,A
2970,19,70,19,82,66,57,69,37,48,B
2971,11,3,9,75,31,66,65,24,45,B
2972,5,74,60,2,75,45,36,27,33,A
2973,82,56,65,68,89,50,33,44,28,B
2974,25,52,97,14,40,64,56,51,30,A
2975,94,97,80,5,52,55,44,53,50,B
2976,44,84,47,35,61,55,24,62,31,A
2977,21,18,71,46,33,53,58,35,21,A
2978,50,14,92,2,58,49,22,52,46,A
2979,22,60,12,54,72,29,45,44,30,A
2980,23,19,32,12,75,28,22,61,59,B
2981,61,75,11,99,70,29,22,65,52,B
2982,60,75,65,1,46,57,54,49,32,B
2983,84,58,35,82,68,48,51,32,21,B
2984,4,80,90,20,62,56,59,22,33,B
2985,27,18,48,1,84,61,58,34,32,A
2986,73,87,41,56,85,50,35,69,66,A
2987,13,80,64,1,64,40,57,20,53,B
2988,2,68,10,42,31,39,41,51,61,B
2989,45,94,7,4,36,43,22,59,34,B
2990,58,96,42,42,50,33,45,49,21,A
2991,17,91,17,6,49,22,57,20,68,B
2992,85,72,52,55,87,32,69,52,32,B
2993,30,15,87,22,47,33,52,68,49,A
2994,10,85,44,71,81,35,57,30,39,A
2995,55,49,42,69,65,53,56,37,37,B
2996,80,94,70,73,61,26,54,53,45,A
2997,83,36,57,32,82,29,46,33,67,B
2998,37,34,92,67,59,58,68,68,49,B
2999,15,79,28,15,78,22,50,42,23,B
3000,53,86,77,11,37,39,37,59,61,A
3001,32,15,26,80,75,47,67,49,44,A
3002,0,22,4,50,69,42,26,46,31,B
3003,46,12,58,5,51,60,56,43,27,A
3004,37,85,44,10,43,53,47,38,20,A
3005,16,61,5,47,55,24,56,35,61,B
3006,92,94,4,79,79,49,28,40,36,B
3007,91,60,77,99,70,27,22,22,26,A
3008,95,60,20,96,33,40,58,43,64,A
3009,95,5,62,32,47,67,22,38,34,A
3010,9,12,8,42,35,39,50,61,39,B
3011,31,65,3,71,78,56,52,29,20,B
3012,8,94,51,0,46,49,51,59,61,B
3013,44,31,46,76,70,50,44,30,31,A
3014,8,8,50,67,30,51,31,58,63,B
3015,4,79,92,9,72,44,57,39,53,B
3016,92,78,43,48,53,35,59,67,20,B
3017,92,47,59,60,56,32,58,46,67,A
3018,65,85,98,34,56,51,51,22,63,A
3019,25,86,17,19,67,33,58,47,67,A
3020,39,49,62,59,72,49,57,24,25,A
3021,31,22,58,64,61,21,37,47,55,A
3022,74,19,11,55,33,22,35,32,48,B
3023,23,10,34,80,39,22,32,49,29,A
3024,7,67,91,63,30,26,24,65,60,B
3025,78,37,61,83,42,49,32,37,31,A
3026,17,47,61,85,66,28,35,56,47,B
3027,85,76,90,64,83,21,59,58,46,A
3028,10,23,87,41,63,27,60,59,37,A
3029,17,29,70,94,75,38,60,28,21,B
3030,64,54,19,53,83,62,49,39,38,A
3031,91,74,28,22,49,36,68,54,54,A
3032,13,31,33,27,55,35,34,37,33,B
3033,37,71,34,88,48,28,21,56,36,A
3034,52,43,43,58,38,58,51,59,64,A
3035,80,18,46,24,58,28,63,44,61,B
3036,6,37,51,53,38,47,39,30,44,A
3037,51,25,8,9,32,60,59,35,23,B
3038,90,99,77,82,30,56,64,60,68,B
3039,61,86,81,41,31,27,34,59,30,A
3040,32,47,52,89,65,44,28,54,64,A
3041,24,92,98,90,47,64,22,55,31,A
3042,89,94,56,51,34,67,61,22,31,A
3043,60,14,94,80,81,51,33,25,51,B
3044,99,71,35,89,68,45,50,60,20,B
3045,9,5,73,87,38,21,32,65,43,A
3046,10,31,18,99,83,62,34,69,23,B
3047,93,95,1,90,34,25,34,21,51,B
3048,59,48,47,60,82,66,26,61,29,B
3049,63,14,9,87,48,55,25,42,30,B
3050,78,21,7,69,38,33,45,67,47,A
3051,83,51,66,44,35,39,28,42,63,B
3052,30,28,97,85,54,41,26,51,58,B
3053,62,23,7,63,54,63,58,24,61,A
3054,17,39,54,22,81,30,35,67,27,A
3055,10,60,7,80,53,22,21,48,35,A
3056,48,41,57,91,35,41,24,38,39,A
3057,75,62,91,48,68,41,52,31,61,B
3058,4,26,20,24,85,58,58,42,54,B
3059,73,76,53,98,54,68,52,29,32,A
3060,17,12,61,56,76,30,36,22,21,B
3061,94,21,30,41,70,23,66,33,48,A
3062,74,92,21,5,59,62,21,69,42,A
3063,31,80,18,6,48,31,50,48,63,B
3064,79,72,63,74,50,68,28,37,41,A
3065,86,90,44,16,35,68,39,55,44,A
3066,90,10,28,48,67,29,39,32,61,B
3067,90,18,40,99,42,60,42,59,68,B
3068,35,1,0,67,34,36,41,51,34,A
3069,96,15,34,24,32,20,45,40,61,B
3070,25,59,60,9,37,29,33,28,64,B
3071,20,66,34,5,32,56,54,50,65,A
3072,10,42,72,4,57,48,43,23,27,A
3073,57,86,14,2,42,40,47,38,23,B
3074,49,9,79,79,88,29,67,21,61,A
3075,54,78,13,24,81,67,51,55,47,B
3076,20,42,30,7,46,21,22,21,68,A
3077,70,90,91,67,56,41,46,53,48,B
3078,59,54,22,5,30,27,53,58,21,A
3079,6,65,5,74,34,24,23,40,24,B
3080,10,11,41,74,34,59,29,29,54,A
3081,38,42,34,8,72,36,48,27,61,B
3082,83,49,67,79,86,36,67,57,51,B
3083,78,0,41,40,76,43,49,27,67,B
3084,82,8,89,74,37,60,20,60,35,B
3085,64,10,9,86,65,41,25,63,53,A
3086,7,78,50,2,68,44,35,67,52,B
3087,53,39,9,28,41,21,43,20,29,A
3088,85,9,75,97,86,44,55,20,60,A
3089,72,10,44,22,80,65,21,62,46,A
3090,88,91,79,31,45,46,65,55,57,A
3091,83,97,27,27,63,43,26,29,40,A
3092,66,73,23,87,50,69,69,64,24,A
3093,18,74,25,12,52,24,30,36,28,A
3094,96,8,81,33,41,47,35,27,56,B
3095,74,49,2,5,76,27,52,54,46,B
3096,20,16,96,63,79,24,31,57,26,B
3097,94,79,18,93,85,54,62,68,47,A
3098,6,14,57,22,45,29,49,27,22,A
3099,76,68,68,14,49,62,29,50,44,B
3100,38,69,97,52,79,63,61,59,36,B
3101,40,95,74,80,32,30,47,65,32,A
3102,47,96,9,69,48,50,65,25,58,B
3103,82,32,87,89,65,51,34,34,58,A
3104,79,57,55,60,60,50,52,33,51,A
3105,56,51,35,7,50,27,43,44,33,A
3106,62,77,95,14,36,27,20,54,59,A
3107,31,50,95,52,79,68,30,41,68,A
3108,93,11,93,74,79,41,21,68,55,B
3109,60,64,76,96,71,27,57,54,41,B
3110,72,66,67,44,68,22,37,48,47,B
3111,85,82,72,81,36,33,69,30,68,A
3112,85,18,15,63,31,51,32,30,37,A
3113,70,27,65,24,45,42,62,20,27,A
3114,14,94,25,33,37,47,54,45,52,A
3115,32,57,79,24,73,42,65,47,49,B
3116,71,92,61,44,73,33,47,33,62,A
3117,45,43,30,17,88,64,61,60,42,A
3118,69,35,34,36,72,39,68,22,45,A
3119,10,17,52,86,75,57,29,61,47,B
3120,9,30,9,90,64,49,27,22,69,A
3121,36,6,7,14,66,61,23,63,50,B
3122,85,64,32,52,42,44,57,69,35,A
3123,1,86,9,40,31,22,23,24,61,B
3124,23,31,24,26,32,65,32,66,58,B
3125,14,11,56,7,72,55,24,67,24,A
3126,7,59,71,78,38,60,58,37,59,B
3127,20,53,25,33,39,31,34,44,35,A
3128,10,2,43,36,31,32,63,52,64,A
3129,12,32,86,16,36,34,40,24,54,B
3130,84,31,2,0,30,23,41,39,39,B
3131,43,75,21,69,81,51,46,57,48,B
3132,25,62,88,61,63,52,46,54,42,B
3133,10,38,36,95,74,56,20,57,51,B
3134,30,96,70,85,51,40,63,55,25,B
3135,0,8,37,82,69,24,51,40,50,B
3136,3,41,90,9,84,27,55,62,48,A
3137,29,71,49,14,80,64,51,66,26,B
3138,97,59,0,37,89,40,38,49,37,A
3139,97,16,53,10,75,44,40,64,49,B
3140,82,85,22,5,68,38,38,23,21,A
3141,13,69,35,57,50,20,32,63,54,A
3142,86,6,2,74,32,35,30,25,48,A
3143,1,10,61,44,69,45,26,39,21,B
3144,35,12,83,54,70,20,59,61,37,A
3145,82,86,68,11,31,42,38,45,38,B
3146,4,26,10,96,59,31,40,34,69,B
3147,45,37,21,25,64,45,66,35,42,A
3148,90,6,6,65,59,39,31,26,65,A
3149,69,5,97,41,47,67,43,51,47,B
3150,35,85,80,22,48,45,60,68,23,B
3151,78,45,36,26,34,30,27,44,55,B
3152,68,66,43,83,39,33,47,21,26,B
3153,40,4,50,94,74,29,25,31,35,A
3154,28,36,3,57,41,65,29,43,22,B
3155,64,51,52,87,52,69,39,21,36,B
3156,83,83,83,89,33,51,53,26,52,B
